_id,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,shoots,weight
bairsca01,5,1.2,1,0.1,30.6,Right,250lb
bakerji01,3.2,1.2,2.8,0.2,20,Right,220lb
bakerla01,46.6,0,0,0.1,0,Right,175lb
bakerma01,0.2,0,0.4,0,0,Right,175lb
bakerno01,0,0,0,0,0,Right,180lb
bakerro01,7.4,3.1,1.4,0.2,41.7,Right,220lb
bakervi01,16.3,15,7.4,47,48.7,Right,232lb
baldwwa01,7.1,3.1,1.2,0.3,38.2,Right,200lb
balkmre01,14.3,4,3.5,7.2,51.8,Right,208lb
ballce01,10.8,1.1,1.6,0,37.5,Right,210lb
balllo01,12.2,10,6.2,3.5,46.1,Right,190lb
ballagr01,15.7,12.4,6.1,54,47.7,Right,215lb
baltihe01,0,2.4,0,0.3,0,Right,195lb
bambamo01,14.9,6.2,5,1.7,52.5,Right,221lb
banksge01,15.1,11.3,5.8,31.2,53.9,Right,215lb
banksma01,12.2,5.9,1.5,6.6,46.9,Right,200lb
bankswa01,6.4,2.6,3.1,0.2,50,Right,205lb
bannike01,8.9,5.9,3.5,0.6,48.8,Right,235lb
bantomi01,14.3,12.1,6.4,34.8,46.8,Right,200lb
barbejo01,4.2,1.4,1.2,0,0,Right,210lb
barbole01,15.1,10.6,2,37.4,52.6,Right,194lb
bardost01,8.1,2.2,1.8,0.1,33.5,Right,190lb
bareajo01,14.5,9,2.1,23.1,48.5,Right,185lb
bargnan01,14.4,14.3,4.6,18.9,48.6,Right,245lb
barkecl01,10.8,3.7,1.8,2,0,Right,185lb
barketo01,10.9,6.5,5.3,1.3,0,Right,225lb
barklch01,24.6,22.1,11.7,177.2,55.8,Right,252lb
barkler01,9.9,2.9,0.8,0.2,37.8,Right,177lb
barksdo01,15.4,11,8,9.1,0,Right,200lb
barneha02,13.3,13.6,4.9,29.7,50,Right,225lb
barneha01,2.4,2,1.2,0.4,0,Right,205lb
barneji01,12.5,8.8,6.5,14.2,0,Right,210lb
barnema01,18.1,16,9.1,20.6,48.1,Right,210lb
barnema02,12.7,8.2,4.6,42.8,51.3,Right,226lb
barnedi01,14.7,15.8,2.9,68.7,0,Left,190lb
barneji02,14.6,11.7,3.1,33.2,0,Right,170lb
barnena01,4.9,2.3,0.7,0,46.2,Right,175lb
barnhjo01,10.7,8.6,2.5,12.7,41.6,Right,180lb
barnhno01,4.7,1,0.8,0,0,Right,205lb
barnhle01,11.4,9.4,5.4,14.2,0,Right,190lb
barrjo01,0,5.1,0,5,0,Right,205lb
barrmi01,9.6,5.9,2.1,6.9,48.2,Right,180lb
barrmo01,11.9,2,0.6,0.1,0,Right,195lb
barrean01,9.6,3.3,1.1,0.4,40.5,Right,172lb
barreer01,9.2,4.9,2.6,0.8,0,Right,180lb
barremi01,12.4,13.4,3.2,7.4,46.1,Right,155lb
barroea01,8.6,4.6,3.5,0.6,37.3,Right,250lb
barroda01,16.4,10.5,1.9,49.6,53.6,Right,163lb
barrybr01,15.7,9.3,3,70.5,57,Right,185lb
barrydr01,9.8,2.2,1.1,0.6,53.4,Right,191lb
barryjo01,14.7,5.7,1.8,37.2,52.4,Right,195lb
barryri01,21,24.8,6.7,128.9,46,Right,205lb
barteed01,0,4.2,4.9,1.1,0,Right,195lb
bartovi01,4.4,0.9,1.6,0.4,0,Right,230lb
bartowi01,14.4,10.5,3.9,16.4,48.9,Right,190lb
basdeed01,10.3,2.1,1.5,0.2,41.9,Right,215lb
baskeje01,8,1.2,1.3,0,0,Right,190lb
bassbr01,15.3,8.7,4.5,42.8,50,Right,250lb
basseti01,10.2,6.2,6.7,12.9,42.4,Left,225lb
bastoma01,14.4,2.7,1.7,2.3,62.5,Right,215lb
bateeme01,6.4,3.4,2.5,0.1,40.7,Right,290lb
batesbi01,18.1,11.7,1.7,6.9,48.3,Right,210lb
bateske01,9.6,5,2.8,0.3,46.8,Right,229lb
batises01,7.9,1.7,2.5,0.3,43.8,Left,270lb
